2016-02-26 03:52:40, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 23800
2016-02-26 03:53:03, used memory: 1.73MB, allocated memory: 10.00MB, addresses read and compared: 23900
2016-02-26 03:53:32, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 24000
2016-02-26 03:53:54, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 24100
2016-02-26 03:54:03, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 24200
2016-02-26 03:54:15, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 24300
2016-02-26 03:54:27, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 24400
2016-02-26 03:54:42, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 24500
2016-02-26 03:55:08, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 24600
2016-02-26 03:55:29, used memory: 1.77MB, allocated memory: 10.00MB, addresses read and compared: 24700
2016-02-26 03:55:38, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 24800
2016-02-26 03:55:56, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 24900
2016-02-26 03:56:15, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 25000
2016-02-26 03:56:36, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 25100
2016-02-26 03:56:57, used memory: 1.77MB, allocated memory: 10.00MB, addresses read and compared: 25200
2016-02-26 03:57:14, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 25300
2016-02-26 03:57:36, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 25400
2016-02-26 03:58:00, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 25500
2016-02-26 03:58:20, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 25600
2016-02-26 03:58:29, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 25700
2016-02-26 03:58:57, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 25800
2016-02-26 03:59:14, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 25900
2016-02-26 03:59:44, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 26000
2016-02-26 04:00:01, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 26100
2016-02-26 04:00:21, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 26200
2016-02-26 04:00:37, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 26300
2016-02-26 04:00:40, used memory: 1.80MB, allocated memory: 10.00MB, addresses read and compared: 26400
2016-02-26 04:00:55, used memory: 1.73MB, allocated memory: 10.00MB, addresses read and compared: 26500
2016-02-26 04:01:13, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 26600
2016-02-26 04:01:22, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 26700
2016-02-26 04:01:36, used memory: 1.75MB, allocated memory: 10.00MB, addresses read and compared: 26800
2016-02-26 04:01:48, used memory: 1.82MB, allocated memory: 10.00MB, addresses read and compared: 26900
2016-02-26 04:01:58, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 27000
2016-02-26 04:02:19, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 27100
2016-02-26 04:02:19, used memory: 1.74MB, allocated memory: 10.00MB, addresses read and compared: 27200
2016-02-26 04:02:19, used memory: 1.75MB, allocated memory: 10.00MB, addresses read and compared: 27300
2016-02-26 04:02:26, used memory: 1.76MB, allocated memory: 10.00MB, addresses read and compared: 27400
2016-02-26 04:02:37, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 27500
2016-02-26 04:02:45, used memory: 1.74MB, allocated memory: 10.00MB, addresses read and compared: 27600
2016-02-26 04:02:54, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 27700
2016-02-26 04:02:56, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 27800
2016-02-26 04:03:04, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 27900
2016-02-26 04:03:14, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 28000
2016-02-26 04:03:24, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 28100
2016-02-26 04:03:35, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 28200
2016-02-26 04:03:51, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 28300
2016-02-26 04:04:06, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 28400
2016-02-26 04:04:23, used memory: 1.73MB, allocated memory: 10.00MB, addresses read and compared: 28500
